period,oversold,overbought,aggression_factor,low_buy,high_sell,buy_amount,pnl,runtime
60,39,73,0.5,20,85,8,-1978.0,6.386399984359741
50,30,71,0.1,10,80,6,7344.0,6.393251895904541
65,30,69,0.30000000000000004,20,80,5,-256.0,6.47589111328125
55,34,75,0.1,20,75,13,1256.0,6.525171995162964
45,33,69,0.30000000000000004,15,85,5,11905.0,6.56582498550415
50,35,69,0.2,10,80,11,12558.0,6.580629110336304
65,39,63,0.2,15,85,17,23721.0,6.612848997116089
70,27,67,0.1,10,75,6,8169.0,6.629989862442017
50,36,62,0.6000000000000001,10,85,9,25860.0,6.649278879165649
70,32,70,0.5,15,75,12,-4244.0,6.371240854263306
70,37,72,0.5,20,80,8,-4807.0,6.250110149383545
50,37,64,0.30000000000000004,20,75,5,17550.0,6.367694139480591
55,35,69,0.5,15,90,6,17794.0,6.551168918609619
45,38,66,0.1,15,85,8,7292.0,6.357198238372803
65,27,65,0.4,10,90,17,11979.0,6.443510055541992
50,28,74,0.4,20,90,10,-1426.0,6.397432804107666
55,34,63,0.5,15,80,15,30635.0,6.424424171447754
35,35,65,0.4,15,75,14,5216.0,6.496147871017456
60,38,64,0.4,15,75,17,25540.0,6.463719129562378
65,26,68,0.30000000000000004,15,90,19,7772.0,6.509776830673218
30,34,71,0.2,10,85,7,5187.0,6.339504957199097
40,34,68,0.1,20,80,14,13061.0,6.512573957443237
35,34,62,0.2,15,75,19,8467.0,6.654192209243774
60,28,74,0.2,20,80,16,5047.0,6.472499847412109
30,37,74,0.30000000000000004,20,75,15,-3424.0,6.7011802196502686
70,33,66,0.1,10,75,3,606.0,6.6035871505737305
70,30,62,0.6000000000000001,20,75,10,14311.0,6.651911973953247
30,38,72,0.2,15,85,7,-3965.0,6.658067941665649
55,34,71,0.30000000000000004,15,75,15,6930.0,6.6349639892578125
45,36,65,0.6000000000000001,15,75,4,15235.0,6.637498140335083
45,28,63,0.2,20,75,6,19791.0,6.539752960205078
55,26,74,0.6000000000000001,10,75,13,6666.0,6.59705114364624
55,34,73,0.4,10,80,2,2831.0,6.567322254180908
45,31,61,0.2,10,75,15,21793.0,6.60008692741394
50,28,62,0.4,15,90,3,21453.0,6.745455026626587
45,25,61,0.2,15,75,18,14446.0,6.671587944030762
60,34,75,0.5,10,75,15,-932.0,6.496956825256348
35,34,67,0.6000000000000001,15,85,14,13014.0,6.657787084579468
60,39,74,0.5,10,80,12,-3372.0,6.590594053268433
70,39,69,0.6000000000000001,10,75,15,2425.0,6.722734689712524
40,38,64,0.1,15,90,7,-2766.0,6.574013948440552
55,40,65,0.30000000000000004,15,90,5,10764.0,6.582926034927368
65,38,74,0.4,15,80,15,-4315.0,6.642426013946533
35,32,70,0.30000000000000004,10,75,3,16460.0,6.639978885650635
65,36,60,0.4,10,90,16,37646.0,6.771646976470947
35,28,67,0.5,10,80,2,26226.0,6.634860992431641
35,25,67,0.1,10,80,8,19250.0,6.631901025772095
30,25,67,0.5,20,90,2,19216.0,6.702225208282471
30,32,63,0.2,15,85,4,1156.0,6.695589065551758
40,36,74,0.4,15,85,13,-2811.0,6.85791277885437
30,33,69,0.1,20,80,8,8784.0,6.524267911911011
50,32,62,0.4,10,80,18,28557.0,6.568849802017212
60,38,63,0.5,15,90,3,23990.0,6.7076239585876465
40,36,61,0.30000000000000004,15,85,5,-1982.0,6.515793085098267
50,34,71,0.1,20,80,15,7182.0,6.626265048980713
70,25,74,0.5,20,90,18,1202.0,6.506863832473755
70,26,71,0.2,15,90,10,6610.0,6.633965015411377
55,34,66,0.30000000000000004,20,75,19,15618.0,6.726657152175903
