period,oversold,overbought,aggression_factor,low_buy,high_sell,buy_amount,pnl,runtime
20,24,68,0.8000000000000003,5,80,10,0.0,5.503899812698364
25,30,66,0.5000000000000001,10,75,10,0.0,5.5216498374938965
30,34,74,0.30000000000000004,5,90,5,0.0,5.593051910400391
25,26,68,0.2,15,85,5,0.0,5.694754123687744
15,26,70,0.30000000000000004,5,75,5,-962.0,5.7061827182769775
25,24,64,0.6000000000000001,20,85,10,0.0,5.698550224304199
45,26,62,0.6000000000000001,15,85,5,0.0,5.7435009479522705
10,28,60,0.6000000000000001,15,90,10,-1968.0,5.768030166625977
35,36,72,0.5000000000000001,15,85,15,0.0,5.765902042388916
25,22,72,0.2,15,85,5,0.0,5.720144987106323
30,20,78,0.30000000000000004,5,80,5,0.0,5.778378009796143
35,34,66,0.2,15,80,5,0.0,5.646271228790283
30,20,64,0.30000000000000004,20,75,5,0.0,5.79213809967041
25,24,64,0.7000000000000002,15,90,5,0.0,5.660246133804321
45,34,72,0.6000000000000001,20,75,15,0.0,5.829567909240723
10,22,64,0.8000000000000003,10,75,15,-714.0,5.846678972244263
25,24,76,0.4000000000000001,5,85,5,0.0,5.795834064483643
20,28,64,0.2,15,80,5,4812.0,5.977787971496582
40,34,64,0.8000000000000003,15,90,5,0.0,5.868973970413208
30,38,60,0.2,5,75,10,0.0,5.9048521518707275
40,30,76,0.5000000000000001,20,90,5,0.0,6.051148891448975
50,34,72,0.5000000000000001,15,90,10,0.0,6.10523796081543
25,38,64,0.30000000000000004,5,85,15,0.0,6.142126083374023
30,20,70,0.2,5,80,5,0.0,5.962475061416626
20,34,64,0.2,5,75,15,6294.0,6.005913257598877
35,28,72,0.30000000000000004,20,80,10,0.0,6.060848712921143
50,28,70,0.8000000000000003,20,85,5,0.0,6.143269777297974
30,26,62,0.30000000000000004,15,80,10,0.0,6.004427909851074
30,32,78,0.2,15,90,15,0.0,6.143284320831299
30,34,64,0.5000000000000001,5,85,15,0.0,6.097041130065918
35,30,68,0.4000000000000001,10,90,5,0.0,6.105204105377197
25,36,68,0.4000000000000001,5,75,5,0.0,6.049684047698975
40,38,76,0.30000000000000004,15,80,10,0.0,6.189813137054443
40,36,72,0.6000000000000001,10,75,10,0.0,6.190136671066284
10,34,60,0.6000000000000001,15,75,5,-81528.0,6.400233030319214
35,28,76,0.5000000000000001,15,90,5,0.0,6.289684057235718
40,22,66,0.4000000000000001,5,80,5,0.0,6.346306800842285
35,26,72,0.30000000000000004,5,85,10,0.0,6.241564989089966
30,24,72,0.4000000000000001,15,85,10,0.0,6.18308687210083
25,38,68,0.5000000000000001,5,90,10,0.0,6.2484130859375
30,32,64,0.2,20,80,10,0.0,6.189302921295166
20,36,62,0.7000000000000002,20,85,10,-1526.0,6.3465306758880615
30,38,78,0.7000000000000002,15,80,5,0.0,6.266059637069702
15,28,76,0.2,5,90,15,-962.0,6.193052053451538
10,24,78,0.8000000000000003,15,85,5,-6200.0,6.183527946472168
50,24,70,0.8000000000000003,10,85,5,0.0,6.633753776550293
10,22,74,0.4000000000000001,5,90,5,-6676.0,6.751535892486572
40,32,70,0.4000000000000001,15,80,15,0.0,6.6201207637786865
35,26,68,0.4000000000000001,20,80,5,0.0,6.633923768997192
35,22,78,0.8000000000000003,15,90,10,0.0,6.646886825561523
45,36,74,0.8000000000000003,15,75,15,0.0,6.642261028289795
15,34,70,0.6000000000000001,5,85,15,-3972.0,6.740289211273193
15,26,62,0.5000000000000001,10,90,5,6375.0,6.6503586769104
45,38,70,0.6000000000000001,5,75,5,0.0,6.462425947189331
50,30,72,0.30000000000000004,15,75,5,0.0,6.668073415756226
15,34,70,0.5000000000000001,10,75,10,-5566.0,6.749392986297607
35,34,62,0.30000000000000004,20,75,10,0.0,6.612156867980957
45,20,66,0.6000000000000001,20,75,10,0.0,6.619585037231445
20,34,62,0.5000000000000001,5,90,5,6140.0,6.76309609413147
10,30,74,0.7000000000000002,5,90,10,-6200.0,6.728811025619507
45,20,78,0.8000000000000003,10,85,5,0.0,6.791664123535156
50,20,64,0.7000000000000002,10,90,15,0.0,6.539217948913574
10,38,60,0.2,5,80,5,-93368.0,6.796480894088745
35,38,68,0.8000000000000003,20,90,5,0.0,6.600706100463867
20,36,72,0.4000000000000001,10,90,10,-4840.0,6.740738153457642
30,38,66,0.2,15,90,10,0.0,6.52559494972229
40,26,60,0.4000000000000001,5,75,10,0.0,6.546814918518066
50,28,76,0.6000000000000001,20,80,10,0.0,6.511430025100708
30,36,62,0.2,15,85,10,0.0,6.574192047119141
45,38,60,0.4000000000000001,20,85,5,0.0,6.566169023513794
40,30,76,0.2,10,80,5,0.0,6.585345029830933
25,26,66,0.2,10,90,15,0.0,6.434841156005859
15,30,66,0.2,20,90,15,5374.0,6.642916917800903
30,30,74,0.30000000000000004,15,75,5,0.0,6.501528024673462
30,30,74,0.6000000000000001,5,90,15,0.0,6.5772809982299805
40,22,64,0.2,5,80,10,0.0,6.569904804229736
35,24,60,0.6000000000000001,15,80,15,0.0,6.578271150588989
40,28,74,0.5000000000000001,5,75,5,0.0,6.546974182128906
10,36,72,0.7000000000000002,15,75,5,-14268.0,6.743256092071533
50,22,78,0.4000000000000001,15,90,10,0.0,6.6495749950408936
50,24,64,0.7000000000000002,15,85,15,0.0,6.672644138336182
